tools (comparison order: row x column),SC_CRA_B,GEN-M1-C1_CRA_B,CROSS-SC-M3_CRA_B,CROSS-SC-UC-M1_CRA_B,CROSS-SC-UC-M3_CRA_B,M100-C100_CRA_B,M100-C100-R_CRA_B,M100-C010-R_CRA_B,M100-C010_CRA_B,M090-C010-R_CRA_B,CROSS-SC-M100-C020_CRA_B,CROSS-SC-M100-C040_CRA_B,CROSS-SC-M100-C060_CRA_B,CROSS-SC-M100-C080_CRA_B
SC_CRA_B P Value,1.0,2.7966913074273236E-6,2.7966913074273236E-6,2.7966913074273236E-6,2.7966913074273236E-6,2.7966913074273236E-6,2.7966913074273236E-6,0.8758960579229409,0.27429882739587585,2.7966913074273236E-6,0.21152242941072907,0.3329058866604344,0.6619035604716124,0.024518720845428832
SC_CRA_B Cohen D,0.0,Large,Large,Large,Large,Large,Large,0.11696008412420592,Small,Large,Medium,Small,0.035405444187961536,Medium
SC_CRA_B Cliff's delta,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.03333333333333333,0.23333333333333334,1.0,-0.26666666666666666,-0.20666666666666667,0.09333333333333334,0.48
GEN-M1-C1_CRA_B P Value,2.7966913074273236E-6,1.0,0.1509269500667162,0.8205958397554409,0.7054569861112734,0.28991845394256965,2.1218287122259927E-4,1.5705228423079642E-4,1.5705228423079642E-4,8.807431907417174E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
GEN-M1-C1_CRA_B Cohen D,Large,0.0,Medium,0.17457802616459825,0.03667940900011245,Small,Large,Large,Large,Large,Large,Large,Large,Large
GEN-M1-C1_CRA_B Cliff's delta,-1.0,0.0,-0.38,0.06,-0.1,-0.28,-0.98,-1.0,-1.0,-0.88,-1.0,-1.0,-1.0,-1.0
CROSS-SC-M3_CRA_B P Value,2.7966913074273236E-6,0.1509269500667162,1.0,0.019109922206844376,0.13057001811573632,0.7623688184698398,5.065414846923133E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.002496908915141538,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
CROSS-SC-M3_CRA_B Cohen D,Large,Medium,0.0,Large,Large,Small,Large,Large,Large,Large,Large,Large,Large,Large
CROSS-SC-M3_CRA_B Cliff's delta,-1.0,0.38,0.0,0.62,0.4,0.08,-0.92,-1.0,-1.0,-0.8,-1.0,-1.0,-1.0,-1.0
CROSS-SC-UC-M1_CRA_B P Value,2.7966913074273236E-6,0.8205958397554409,0.019109922206844376,1.0,0.49629170223109276,0.09630369202868827,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.0011520450981421515,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
CROSS-SC-UC-M1_CRA_B Cohen D,Large,0.17457802616459825,Large,0.0,Small,Medium,Large,Large,Large,Large,Large,Large,Large,Large
CROSS-SC-UC-M1_CRA_B Cliff's delta,-1.0,-0.06,-0.62,0.0,-0.18,-0.44,-1.0,-1.0,-1.0,-0.86,-1.0,-1.0,-1.0,-1.0
CROSS-SC-UC-M3_CRA_B P Value,2.7966913074273236E-6,0.7054569861112734,0.13057001811573632,0.49629170223109276,1.0,0.22647606604348647,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.0014988733371517071,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
CROSS-SC-UC-M3_CRA_B Cohen D,Large,0.03667940900011245,Large,Small,0.0,Small,Large,Large,Large,Large,Large,Large,Large,Large
CROSS-SC-UC-M3_CRA_B Cliff's delta,-1.0,0.1,-0.4,0.18,0.0,-0.32,-1.0,-1.0,-1.0,-0.84,-1.0,-1.0,-1.0,-1.0
M100-C100_CRA_B P Value,2.7966913074273236E-6,0.28991845394256965,0.7623688184698398,0.09630369202868827,0.22647606604348647,1.0,2.1218287122259927E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.0014988733371517071,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
M100-C100_CRA_B Cohen D,Large,Small,Small,Medium,Small,0.0,Large,Large,Large,Large,Large,Large,Large,Large
M100-C100_CRA_B Cliff's delta,-1.0,0.28,-0.08,0.44,0.32,0.0,-0.98,-1.0,-1.0,-0.84,-1.0,-1.0,-1.0,-1.0
M100-C100-R_CRA_B P Value,2.7966913074273236E-6,2.1218287122259927E-4,5.065414846923133E-4,1.5705228423079642E-4,1.5705228423079642E-4,2.1218287122259927E-4,1.0,1.5705228423079642E-4,1.5705228423079642E-4,0.4056788952850532,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
M100-C100-R_CRA_B Cohen D,Large,Large,Large,Large,Large,Large,0.0,Large,Large,0.0959035558106661,Large,Large,Large,Large
M100-C100-R_CRA_B Cliff's delta,-1.0,0.98,0.92,1.0,1.0,0.98,0.0,-1.0,-1.0,-0.22,-1.0,-1.0,-1.0,-1.0
M100-C010-R_CRA_B P Value,0.8758960579229409,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.0,0.3257513544787165,1.5705228423079642E-4,0.28991845394256965,0.5967012167293564,0.4056788952850532,0.06964240479832817
M100-C010-R_CRA_B Cohen D,0.11696008412420592,Large,Large,Large,Large,Large,Large,0.0,Medium,Large,Medium,Small,0.17663316421420322,Large
M100-C010-R_CRA_B Cliff's delta,0.03333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.26,1.0,-0.28,-0.14,0.22,0.48
M100-C010_CRA_B P Value,0.27429882739587585,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.3257513544787165,1.0,1.5705228423079642E-4,0.0493661947519326,0.09630369202868827,0.5453496680111235,0.3257513544787165
M100-C010_CRA_B Cohen D,Small,Large,Large,Large,Large,Large,Large,Medium,0.0,Large,Large,Large,Small,Small
M100-C010_CRA_B Cliff's delta,-0.23333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,-0.26,0.0,1.0,-0.52,-0.44,-0.16,0.26
M090-C010-R_CRA_B P Value,2.7966913074273236E-6,8.807431907417174E-4,0.002496908915141538,0.0011520450981421515,0.0014988733371517071,0.0014988733371517071,0.4056788952850532,1.5705228423079642E-4,1.5705228423079642E-4,1.0,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
M090-C010-R_CRA_B Cohen D,Large,Large,Large,Large,Large,Large,0.0959035558106661,Large,Large,0.0,Large,Large,Large,Large
M090-C010-R_CRA_B Cliff's delta,-1.0,0.88,0.8,0.86,0.84,0.84,0.22,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
CROSS-SC-M100-C020_CRA_B P Value,0.21152242941072907,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.28991845394256965,0.0493661947519326,1.5705228423079642E-4,1.0,0.8798291600118298,0.08209870865427438,0.008150971593502754
CROSS-SC-M100-C020_CRA_B Cohen D,Medium,Large,Large,Large,Large,Large,Large,Medium,Large,Large,0.0,Small,Medium,Large
CROSS-SC-M100-C020_CRA_B Cliff's delta,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.28,0.52,1.0,0.0,0.04,0.46,0.7
CROSS-SC-M100-C040_CRA_B P Value,0.3329058866604344,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.5967012167293564,0.09630369202868827,1.5705228423079642E-4,0.8798291600118298,1.0,0.25683925795785656,0.028365505605209895
CROSS-SC-M100-C040_CRA_B Cohen D,Small,Large,Large,Large,Large,Large,Large,Small,Large,Large,Small,0.0,Small,Large
CROSS-SC-M100-C040_CRA_B Cliff's delta,0.20666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.14,0.44,1.0,-0.04,0.0,0.3,0.58
CROSS-SC-M100-C060_CRA_B P Value,0.6619035604716124,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.4056788952850532,0.5453496680111235,1.5705228423079642E-4,0.08209870865427438,0.25683925795785656,1.0,0.11241058465536369
CROSS-SC-M100-C060_CRA_B Cohen D,0.035405444187961536,Large,Large,Large,Large,Large,Large,0.17663316421420322,Small,Large,Medium,Small,0.0,Large
CROSS-SC-M100-C060_CRA_B Cliff's delta,-0.09333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,-0.22,0.16,1.0,-0.46,-0.3,0.0,0.42
CROSS-SC-M100-C080_CRA_B P Value,0.024518720845428832,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.06964240479832817,0.3257513544787165,1.5705228423079642E-4,0.008150971593502754,0.028365505605209895,0.11241058465536369,1.0
CROSS-SC-M100-C080_CRA_B Cohen D,Medium,Large,Large,Large,Large,Large,Large,Large,Small,Large,Large,Large,Large,0.0
CROSS-SC-M100-C080_CRA_B Cliff's delta,-0.48,1.0,1.0,1.0,1.0,1.0,1.0,-0.48,-0.26,1.0,-0.7,-0.58,-0.42,0.0
